id,domain,sam,upn,sid,role
63365c3c-e1f5-4d5e-b62b-6aa33d6bceac,AGE,g.cordero,g.cordero@age.local,S-1-5-21-2481923711-3928475610-1122334455-1147,
d77ea0f5-bc23-494d-9b75-95cb52645c2b,AGE,r.domingo,r.domingo@age.local,S-1-5-21-2481923711-3928475610-1122334455-1148,
a4c2b674-0aa0-47d6-9f5a-49fcecf04e30,AGE,h.espinosa,h.espinosa@age.local,S-1-5-21-2481923711-3928475610-1122334455-1149,
fb95ded3-c056-41a8-a158-c168e2a7fd34,AGE,b.ferrer,b.ferrer@age.local,S-1-5-21-2481923711-3928475610-1122334455-1150,
5d0bea53-2102-4fc5-9dbf-4b1ade56e6cd,AGE,s.garrido,s.garrido@age.local,S-1-5-21-2481923711-3928475610-1122334455-1151,
e7e7f809-3e23-46ed-9cc9-78dc7147e133,AGE,a.hurtado,a.hurtado@age.local,S-1-5-21-2481923711-3928475610-1122334455-1152,
550eb577-eb19-4ceb-a350-497a7b4f881c,AGE,t.jimenez,t.jimenez@age.local,S-1-5-21-2481923711-3928475610-1122334455-1153,
a9f476a9-7b00-42f9-9465-d5ba1688be5f,AGE,n.ledesma,n.ledesma@age.local,S-1-5-21-2481923711-3928475610-1122334455-1154,
6fe475c8-c9ef-49fe-9215-67770f8f969c,AGE,r.marquez,r.marquez@age.local,S-1-5-21-2481923711-3928475610-1122334455-1155,
53cc9ba5-ecb8-4770-ae05-bbf6c921f178,AGE,i.nieto,i.nieto@age.local,S-1-5-21-2481923711-3928475610-1122334455-1156,
08a2c262-ad57-4924-b28b-5b3d5f3c920c,AGE,g.olivar,g.olivar@age.local,S-1-5-21-2481923711-3928475610-1122334455-1157,
0b90cf7e-76a5-4e46-93cc-af882803ff31,AGE,m.perales,m.perales@age.local,S-1-5-21-2481923711-3928475610-1122334455-1158,
e9f9a867-ee73-46c7-b8ce-7e908cd41769,AGE,a.requena,a.requena@age.local,S-1-5-21-2481923711-3928475610-1122334455-1159,
e2394070-dacc-4da2-ac53-a6d7f2c42704,AGE,v.soriano,v.soriano@age.local,S-1-5-21-2481923711-3928475610-1122334455-1160,
f2ac2cda-7a55-41fb-ac5e-d68a88c04ca9,AGE,e.tejedor,e.tejedor@age.local,S-1-5-21-2481923711-3928475610-1122334455-1161,
08d2db20-4c22-4327-b926-f84644671b9e,AGE,l.vargas,l.vargas@age.local,S-1-5-21-2481923711-3928475610-1122334455-1162,
f67b173a-a30c-4ce6-8030-01682bdf7550,AGE,m.yuste,m.yuste@age.local,S-1-5-21-2481923711-3928475610-1122334455-1163,
6fac1dab-90d8-4364-b052-4bf7d06cbcba,AGE,e.zapata,e.zapata@age.local,S-1-5-21-2481923711-3928475610-1122334455-1164,
3a7f359e-739c-4d4b-9927-a653d04bf7db,AGE,f.alameda,f.alameda@age.local,S-1-5-21-2481923711-3928475610-1122334455-1165,
7a119e71-79ed-4cfd-8fa7-5f2a30c256f5,AGE,j.briones,j.briones@age.local,S-1-5-21-2481923711-3928475610-1122334455-1166,
55df391f-f1f4-447a-b08a-95cbdade7c8f,AGE,e.cifuente,e.cifuente@age.local,S-1-5-21-2481923711-3928475610-1122334455-1167,
6a219c37-ee75-449e-ba3c-be897a83bf9b,AGE,o.domingue,o.domingue@age.local,S-1-5-21-2481923711-3928475610-1122334455-1168,
017b0eda-ac55-4114-a24d-8b13d77bd433,AGE,r.escriban,r.escriban@age.local,S-1-5-21-2481923711-3928475610-1122334455-1169,
0d677ea4-232f-4e97-9a6a-19cbd115f452,AGE,l.fajardo,l.fajardo@age.local,S-1-5-21-2481923711-3928475610-1122334455-1170,
e00891f2-0c69-472a-827a-711dea6aa3fd,AGE,j.gimenez,j.gimenez@age.local,S-1-5-21-2481923711-3928475610-1122334455-1171,
f25ec6f6-a093-45e9-8b2a-3402d3d935a4,AGE,m.huertas,m.huertas@age.local,S-1-5-21-2481923711-3928475610-1122334455-1172,
e0585e36-5918-4142-9e02-32e320a91058,AGE,f.izquierd,f.izquierd@age.local,S-1-5-21-2481923711-3928475610-1122334455-1173,
39b885dd-820c-482d-8511-6c5a7a9beb61,AGE,s.labrador,s.labrador@age.local,S-1-5-21-2481923711-3928475610-1122334455-1174,
0905f98a-47e9-499b-b2fc-26910541e7dc,AGE,a.manzano,a.manzano@age.local,S-1-5-21-2481923711-3928475610-1122334455-1175,
1760caec-4862-490f-99b9-65963394cadf,AGE,p.novoa,p.novoa@age.local,S-1-5-21-2481923711-3928475610-1122334455-1176,
501665e4-bc8f-46ff-8438-c13217910798,AGE,i.otero,i.otero@age.local,S-1-5-21-2481923711-3928475610-1122334455-1177,
281c0329-4831-4705-911b-92b560ca4bcd,AGE,m.pedraza,m.pedraza@age.local,S-1-5-21-2481923711-3928475610-1122334455-1178,
bbda47a2-de5b-4502-b215-4b3aeccd96cd,AGE,c.quiroga,c.quiroga@age.local,S-1-5-21-2481923711-3928475610-1122334455-1179,
d4570e47-63c3-47f2-9ddf-47c2d7490e43,AGE,a.rincon,a.rincon@age.local,S-1-5-21-2481923711-3928475610-1122334455-1180,
debd27e0-1b23-4e02-b3cf-9335824bab03,AGE,r.saavedra,r.saavedra@age.local,S-1-5-21-2481923711-3928475610-1122334455-1181,
5fc66b27-5b58-49b8-8a55-d8fadf89d4c4,AGE,g.trujillo,g.trujillo@age.local,S-1-5-21-2481923711-3928475610-1122334455-1182,
4e293987-95c4-42e3-9e36-4fec48d729b1,AGE,e.valencia,e.valencia@age.local,S-1-5-21-2481923711-3928475610-1122334455-1183,
6bd7d55b-a682-4ca9-833a-3c41d084d25b,AGE,v.zorrilla,v.zorrilla@age.local,S-1-5-21-2481923711-3928475610-1122334455-1184,
cc16e0e0-521a-4297-afb6-c4a78998c0c4,AGE,b.acevedo,b.acevedo@age.local,S-1-5-21-2481923711-3928475610-1122334455-1185,
650b76c2-ae0d-4c37-977f-270cb95cd272,AGE,c.bustos,c.bustos@age.local,S-1-5-21-2481923711-3928475610-1122334455-1186,
d0e89cd7-804a-42d1-a28d-9af8e18c51f9,AGE,j.cantero,j.cantero@age.local,S-1-5-21-2481923711-3928475610-1122334455-1187,
28becbfd-8732-4030-a08a-f7159ed98661,AGE,a.donoso,a.donoso@age.local,S-1-5-21-2481923711-3928475610-1122334455-1188,
15cabbc6-2270-4284-a36f-06f13423d1e3,AGE,m.echevarr,m.echevarr@age.local,S-1-5-21-2481923711-3928475610-1122334455-1189,
daff3aff-3252-4ff2-bd89-0ee998789549,AGE,v.flores,v.flores@age.local,S-1-5-21-2481923711-3928475610-1122334455-1190,
fd8b93e0-4418-423a-a9d8-fb195f055d5b,AGE,l.granados,l.granados@age.local,S-1-5-21-2481923711-3928475610-1122334455-1191,
3418f555-6265-4470-a613-2b826a6fe7f6,AGE,e.heredia,e.heredia@age.local,S-1-5-21-2481923711-3928475610-1122334455-1192,
318d892a-7792-4328-93fc-85945fa7e863,AGE,b.linares,b.linares@age.local,S-1-5-21-2481923711-3928475610-1122334455-1193,
22949bdf-08b8-4a56-bfd6-2b8c8cd25bf5,AGE,a.medina,a.medina@age.local,S-1-5-21-2481923711-3928475610-1122334455-1194,
500e8a94-90e1-468f-a59c-4793ef392b01,AGE,a.olmos,a.olmos@age.local,S-1-5-21-2481923711-3928475610-1122334455-1195,
1784a22d-ca6d-4a84-ae0a-1a1969a5e6d4,AGE,c.padilla,c.padilla@age.local,S-1-5-21-2481923711-3928475610-1122334455-1196,
9ba9ea33-2ff0-4e7a-b427-394e2bdbf05f,AGE,e.rivas,e.rivas@age.local,S-1-5-21-2481923711-3928475610-1122334455-1197,
2ba99af1-82c2-47cd-9f88-b79b08eefec1,AGE,l.solano,l.solano@age.local,S-1-5-21-2481923711-3928475610-1122334455-1198,
08f8a777-53df-4c6f-8a57-d31ac1ae97e5,AGE,g.toledo,g.toledo@age.local,S-1-5-21-2481923711-3928475610-1122334455-1199,
ba26f755-7114-4265-b913-fef58bc89230,AGE,v.villalba,v.villalba@age.local,S-1-5-21-2481923711-3928475610-1122334455-1200,
